labelAnnotations,fullTextAnnotation,image_file
"Snapshot,Engineering,Crowd,Leisure,City,Escalator,Fun,Stairs,Glass,Event",TAL,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1021.jpeg
"Snapshot,Engineering,Automotive design,Customer,Leisure,Fun,Escalator,Retail,Glass,Event",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1022.jpeg
"Windshield,Engineering,Customer,Event,Leisure,Motor vehicle,City,Escalator,Glass,Automotive design",GITA,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1023.jpeg
"Windshield,Engineering,Automotive design,Leisure,Motor vehicle,City,Escalator,Personal luxury car,Glass,Event",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1024.jpeg
"Automotive lighting,Motor vehicle,Automotive exterior,Vehicle door,Tints and shades,Hood,Vehicle,Automotive mirror,Personal luxury car,Automotive design",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1025.jpeg
"Windshield,Motor vehicle,Vehicle door,Automotive exterior,Hood,Vehicle,Hat,Car,Personal luxury car,Automotive design",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1026.jpeg
"Automotive tire,Automotive lighting,Motor vehicle,Automotive exterior,Vehicle door,Hood,Vehicle,Steering wheel,Window,Automotive mirror",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1027.jpeg
"Engineering,Leisure,Motor vehicle,Automotive exterior,Luggage and bags,Air travel,Vehicle,Workwear,Travel,Event",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1028.jpeg
"Windshield,Automotive tire,Automotive lighting,Auto part,Motor vehicle,Automotive exterior,Vehicle door,Hood,Automotive mirror,Automotive design",,clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_1029.jpeg
"Beard,Crowd,Cap,Leisure,Headgear,Recreation,T-shirt,Hat,Baseball cap,Event","EFE
EFF",clickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFallclickssample60CICJuliusMalemaatClicksMalloftheNorthClicksMustFall_scene_103.jpeg
